Date,Avg Temperature,Avg Humidity,Avg Wind Speed
2023-06-16,16.0,51.5,117.0
2023-06-17,17.0,53.7,121.0
2023-06-18,19.0,52.9,107.0
2023-06-19,21.0,56.0,105.0
2023-06-20,24.0,60.2,100.0
2023-06-21,24.0,63.8,111.0
2023-06-22,24.0,61.3,102.0
2023-06-23,22.0,63.6,127.0
2023-06-24,19.0,58.1,128.0
2023-06-25,19.0,53.1,104.0
2023-06-26,22.0,58.1,107.0
2023-06-27,17.0,54.9,124.0
2023-06-28,16.0,51.6,121.0
2023-06-29,19.0,53.8,104.0
2023-06-30,20.0,59.7,126.0
2023-07-01,20.0,59.3,124.0
2023-07-02,20.0,55.8,109.0
2023-07-03,20.0,51.6,93.0
2023-07-04,20.0,52.0,93.0
2023-07-05,20.0,56.6,112.0
2023-07-06,19.0,49.7,93.0
2023-07-07,20.0,50.1,93.0
2023-07-08,22.0,50.8,85.0
2023-07-09,23.0,52.4,84.0
2023-07-10,22.0,58.9,107.0
2023-07-11,22.0,55.8,96.0
2023-07-12,23.0,59.7,104.0
2023-07-13,20.0,59.1,123.0
2023-07-14,19.0,53.9,107.0
2023-07-15,25.0,55.9,87.0
2023-07-16,24.0,61.9,105.0
2023-07-17,24.0,56.7,88.0
2023-07-18,21.0,49.8,84.0
2023-07-19,21.0,49.3,83.0
2023-07-20,19.0,55.1,115.0
2023-07-21,20.0,52.6,101.0
2023-07-22,18.0,50.0,99.0
2023-07-23,22.0,49.1,80.0
2023-07-24,24.0,53.9,79.0
2023-07-25,21.0,54.9,101.0
2023-07-26,16.0,51.8,123.0
2023-07-27,17.0,48.3,101.0
2023-07-28,20.0,58.8,119.0
2023-07-29,21.0,59.6,114.0
2023-07-30,19.0,59.1,130.0
2023-07-31,19.0,55.5,111.0
2023-08-01,19.0,57.8,121.0
2023-08-02,20.0,54.5,107.0
2023-08-03,22.0,56.1,99.0
2023-08-04,20.0,55.5,105.0
2023-08-05,17.0,59.3,143.0
2023-08-06,15.0,56.8,153.0
2023-08-07,16.0,54.2,129.0
2023-08-08,16.0,47.4,100.0
2023-08-09,15.0,52.3,129.0
2023-08-10,16.0,48.1,106.0
2023-08-11,18.0,51.3,107.0
2023-08-12,22.0,57.3,102.0
2023-08-13,24.0,62.7,106.0
2023-08-14,25.0,64.0,108.0
2023-08-15,27.0,59.6,81.0
2023-08-16,25.0,64.8,110.0
2023-08-17,22.0,63.6,126.0
2023-08-18,22.0,64.1,126.0
2023-08-19,24.0,65.1,119.0
2023-08-20,25.0,66.0,117.0
2023-08-21,23.0,64.7,122.0
2023-08-22,23.0,65.0,126.0
2023-08-23,21.0,57.4,111.0
2023-08-24,21.0,58.3,114.0
2023-08-25,24.0,63.7,112.0
2023-08-26,23.0,63.9,119.0
2023-08-27,19.0,64.1,151.0
2023-08-28,16.0,57.2,139.0
2023-08-29,14.0,56.0,152.0
2023-08-30,15.0,56.2,147.0
2023-08-31,15.0,52.7,128.0
2023-09-01,17.0,51.5,114.0
2023-09-02,18.0,58.7,135.0
2023-09-03,18.0,55.9,122.0
2023-09-04,18.0,54.8,119.0
2023-09-05,18.0,53.9,113.0
2023-09-06,19.0,54.4,114.0
2023-09-07,19.0,54.8,113.0
2023-09-08,22.0,56.9,102.0
2023-09-09,20.0,58.1,118.0
2023-09-10,21.0,57.4,111.0
2023-09-11,21.0,57.6,113.0
2023-09-12,21.0,59.0,115.0
2023-09-13,21.0,61.9,124.0
2023-09-14,17.0,57.2,137.0
2023-09-15,16.0,53.9,126.0
2023-09-16,17.0,53.6,119.0
2023-09-17,20.0,57.6,119.0
2023-09-18,21.0,59.9,119.0
2023-09-19,18.0,58.1,128.0
2023-09-20,18.0,52.3,107.0
2023-09-21,20.0,56.9,116.0
2023-09-22,17.0,57.8,134.0
2023-09-23,14.0,52.3,135.0
2023-09-24,13.0,48.8,131.0
2023-09-25,15.0,53.9,138.0
2023-09-26,16.0,58.6,147.0
2023-09-27,19.0,56.1,120.0
2023-09-28,18.0,53.3,111.0
2023-09-29,19.0,53.0,107.0
2023-09-30,16.0,52.4,118.0
2023-10-01,14.0,47.7,115.0
2023-10-02,19.0,53.6,106.0
2023-10-03,19.0,54.9,112.0
2023-10-04,14.0,49.1,122.0
2023-10-05,14.0,46.8,115.0
2023-10-06,14.0,50.4,127.0
2023-10-07,17.0,52.6,114.0
2023-10-08,11.0,42.3,121.0
2023-10-09,8.0,43.9,145.0
2023-10-10,11.0,49.6,152.0
2023-10-11,18.0,54.5,120.0
2023-10-12,17.0,55.1,125.0
2023-10-13,17.0,56.3,129.0
2023-10-14,16.0,50.6,111.0
2023-10-15,9.0,39.0,119.0
2023-10-16,7.0,37.9,128.0
2023-10-17,6.0,38.3,136.0
2023-10-18,5.0,35.1,128.0
2023-10-19,6.0,41.3,149.0
2023-10-20,10.0,49.0,158.0
2023-10-21,14.0,52.8,139.0
2023-10-22,12.0,52.4,156.0
2023-10-23,12.0,48.5,138.0
2023-10-24,11.0,49.9,148.0
2023-10-25,12.0,50.2,146.0
2023-10-26,11.0,48.5,146.0
2023-10-27,9.0,45.9,151.0
2023-10-28,11.0,47.5,140.0
2023-10-29,14.0,47.5,118.0
2023-10-30,14.0,50.5,124.0
2023-10-31,14.0,49.4,121.0
2023-11-01,12.0,45.2,121.0
2023-11-02,11.0,45.4,130.0
